DBuid	StrainName	Date added	DNA	DNAextractNo	Species	Strain Background	Modifications	Source	Other notes (all are in ca. 15% glycerol)
G53	TTP2a.1.2	5.12.2006	AG09		CEN PCRs not paradoxus or cerevisiae-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate) to YPD. TTP2a.1.1 looked polyphenic: pseudohyphae + normal (haploid) + small.
G54	BY4743.TTP	5.12.2006	AG10		S. cerevisiae S288C derived	MATa/MATalpha; his3[delta]1/his3[delta]1; leu2[delta]0/leu2[delta]0; met15[delta]0/MET15; LYS2/lys2[delta]0; ura3[delta]0/ura3[delta]0	none	F69 from myBY4743 	diploid, deletion project parental strain, -20 then -80
G55	restreak-ve	5.12.2006	AG11		none	none	none	Douda Bensasson	lab negative (restreak -ve) from YPD
G56	LBW2ha.6	5.12.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside.
G57	LBW2ha.7	5.12.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside.
G58	LBW2ha.8	5.12.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside.
G59	LBW2ha.9	5.12.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside.
G60	LBW2ha.10	5.12.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside.
G61	LBW2ha.SM	5.12.2006	none		yeast-like	wild	none	Douda Bensasson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
G62	LBW2hb.6	5.12.2006	13.9.07	7.00	yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside.
G63	LBW2hb.7	5.12.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside.
G64	LBW2hb.8	5.12.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside.
G65	LBW2hb.9	5.12.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside.
G66	LBW2hb.10	5.12.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside.
G67	LBW2hb.SM	5.12.2006	none		yeast-like	wild	none	Douda Bensasson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
G68	LBW2i.6	5.12.2006	13.9.07	8	yeast-like	wild	none	Douda Bensasson	Clear in YPD. single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate). Smells like camembert.
G69	LBW2i.7	5.12.2006	13.9.07	9	yeast-like	wild	none	Douda Bensasson	Cloudy in YPD. single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate). Smells like camembert.
G70	LBW2i.8	5.12.2006	none		yeast-like	wild	none	Douda Bensasson	Cloudy in YPD. single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate). Smells like camembert.
G71	LBW2i.9	5.12.2006	none		yeast-like	wild	none	Douda Bensasson	Clear in YPD. single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate). Smells like camembert.
G72	LBW2i.10	5.12.2006	none		yeast-like	wild	none	Douda Bensasson	Clear in YPD. single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate). Smells like camembert.
G73	LBW2i.SM	5.12.2006	none		yeast-like	wild	none	Douda Bensasson	Cloudy in YPD with film on top. Many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate). Smells like camembert.
G74	LBW2ja.6	5.12.2006	LBW2ja.6.1		CEN PCRs not paradoxus or cerevisiae-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside.
G75	LBW2ja.7	5.12.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside.
G76	LBW2ja.8	5.12.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside.
G77	LBW2ja.9	5.12.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside.
G78	LBW2ja.10	5.12.2006	none		yeast-like	wild	none	Douda Bensasson	Cloudy in YPD. single colony picked from methyl-alpha-D-glucopyranoside.
G79	LBW2ja.SM	5.12.2006	none		yeast-like	wild	none	Douda Bensasson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
G80	LBW2jb.6	5.12.2006	13.9.07	22	yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside.
G81	LBW2jb.7	5.12.2006	27.9.2007	9	yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside.
H01	LBW2jb.8	5.12.2006	27.9.2007	10	yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside.
H02	LBW2jb.9	5.12.2006	27.9.2007	11	yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside.
H03	LBW2jb.10	5.12.2006	27.9.2007	12	yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside.
H04	LBW2jb.SM	5.12.2006	none		yeast-like	wild	none	Douda Bensasson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
H05	LBW2kb.6	5.12.2006	13.9.07	11	yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside.
H06	LBW2kb.7	5.12.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside.
H07	LBW2kb.8	5.12.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside.
H08	LBW2kb.9	5.12.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside.
H09	LBW2kb.10	5.12.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside.
H10	LBW2kb.SM	5.12.2006	none		yeast-like	wild	none	Douda Bensasson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
H11	LBW2l-ve.SM	5.12.2006	none		none	na	none	Douda Bensasson	field negative. from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
H12	LBW2m.6	5.12.2006	13.9.07	13	yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside.
H13	LBW2m.7	5.12.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside.
H14	LBW2m.8	5.12.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside.
H15	LBW2m.9	5.12.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside.
H16	LBW2m.10	5.12.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside.
H17	LBW2m.SM	5.12.2006	none		yeast-like	wild	none	Douda Bensasson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
H18	LBW2n.4	5.12.2006	13.9.07	14	yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside.
H19	LBW2n.5	5.12.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside.
H20	LBW2n.6	5.12.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside.
H21	LBW2n.7	5.12.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside.
H22	LBW2n.8	5.12.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside.
H23	LBW2n.9	5.12.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside.
H24	LBW2n.10	5.12.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside.
H25	LBW2n.SM	5.12.2006	none		yeast-like	wild	none	Douda Bensasson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
H26	LBW2jc	19.12.2006	none		yeast-like	wild	none	Douda Bensasson	yeast-like species in Sniegowski enrichment medium. yeast-like colonies on methyl-alpha-D-glucopyranoside. -20 for 4 months then -80.
H27	LBW2kc	19.12.2006	none		yeast-like	wild	none	Douda Bensasson	yeast-like species in Sniegowski enrichment medium. yeast-like colonies on methyl-alpha-D-glucopyranoside. -20 for 4 months then -80.
H28	lab-ve	19.12.2006	none		yeast-like	wild	none	Douda Bensasson	lab negative. -20 for 4 months then -80.
H29	LBW2jc.1	20.12.2006	none		yeast-like	wild	none	Douda Bensasson	Clear in YPD. Haploids. single colony picked from YPD. -20 for 4 months then -80.
H30	LBW2jc.2	20.12.2006	none		yeast-like	wild	none	Douda Bensasson	Clear in YPD. single colony picked from YPD. -20 for 4 months then -80.
H31	LBW2jc.3	20.12.2006	none		yeast-like	wild	none	Douda Bensasson	Clear in YPD. single colony picked from YPD. -20 for 4 months then -80.
H32	LBW2jc.4	20.12.2006	none		yeast-like	wild	none	Douda Bensasson	Clear in YPD. single colony picked from YPD. -20 for 4 months then -80.
H33	LBW2jc.5	20.12.2006	none		yeast-like	wild	none	Douda Bensasson	Clear in YPD. single colony picked from YPD. -20 for 4 months then -80.
H34	LBW2jc.YM	20.12.2006	none		yeast-like	wild	none	Douda Bensasson	Clear in YPD. many yeast-like colonies picked from YPD. -20 for 4 months then -80.
H35	LBW2kc.1	20.12.2006	none		yeast-like	wild	none	Douda Bensasson	Clear in YPD. Haploids. single colony picked from YPD. -20 for 4 months then -80.
H36	LBW2kc.2	20.12.2006	none		yeast-like	wild	none	Douda Bensasson	Clear in YPD. single colony picked from YPD. -20 for 4 months then -80.
H37	LBW2kc.3	20.12.2006	none		yeast-like	wild	none	Douda Bensasson	Clear in YPD. single colony picked from YPD. -20 for 4 months then -80.
H38	LBW2kc.4	20.12.2006	none		yeast-like	wild	none	Douda Bensasson	Clear in YPD. single colony picked from YPD. -20 for 4 months then -80.
H39	LBW2kc.5	20.12.2006	none		yeast-like	wild	none	Douda Bensasson	Clear in YPD. single colony picked from YPD. -20 for 4 months then -80.
H40	LBW2kc.YM	20.12.2006	none		yeast-like	wild	none	Douda Bensasson	Clear in YPD. many yeast-like colonies picked from YPD. -20 for 4 months then -80.
H41	negative	20.12.2006	none		none	na	none	Douda Bensasson	lab negative from incubator to plate. -20 for 4 months then -80.
H42	LBW2jc.6	21.12.2006	13.9.07	10.00	yeast-like	wild	none	Douda Bensasson	small, single colony picked from methyl-alpha-D-glucopyranoside. -20 for 4 months then -80.
H43	LBW2jc.7	21.12.2006	none		yeast-like	wild	none	Douda Bensasson	small, single colony picked from methyl-alpha-D-glucopyranoside. -20 for 4 months then -80.
H44	LBW2jc.8	21.12.2006	none		yeast-like	wild	none	Douda Bensasson	small, single colony picked from methyl-alpha-D-glucopyranoside. -20 for 4 months then -80.
H45	LBW2jc.9	21.12.2006	none		yeast-like	wild	none	Douda Bensasson	small, single colony picked from methyl-alpha-D-glucopyranoside. -20 for 4 months then -80.
H46	LBW2jc.10	21.12.2006	none		yeast-like	wild	none	Douda Bensasson	small, single colony picked from methyl-alpha-D-glucopyranoside. -20 for 4 months then -80.
H47	LBW2jc.SM	21.12.2006	none		yeast-like	wild	none	Douda Bensasson	many small yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate). -20 for 4 months then -80.
H48	LBW2kc.6	21.12.2006	13.9.07	12	yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. -20 for 4 months then -80.
H49	LBW2kc.7	21.12.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. -20 for 4 months then -80.
H50	LBW2kc.8	21.12.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. -20 for 4 months then -80.
H51	LBW2kc.9	21.12.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. -20 for 4 months then -80.
H52	LBW2kc.10	21.12.2006	none		yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. -20 for 4 months then -80.
H53	LBW2kc.SM	21.12.2006	none		yeast-like	wild	none	Douda Bensasson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate). -20 for 4 months then -80.
H54	negative	21.12.2006	none		none	na	none	Douda Bensasson	negative. -20 for 4 months then -80.
H55	CBS432	19.4.2007	AH01		yeast-like	wild	none	Douda Bensasson	single colony picked from revitalised A01
H56	CBS8442	19.4.2007	AH02		yeast-like	wild	none	Douda Bensasson	single colony picked from revitalised A11
H57	UEAB2.1.1	19.4.2007	AH03		yeast-like	wild	none	Douda Bensasson	single colony picked from revitalised B55
H58	UEA3.1.1	19.4.2007	AH04		S. paradoxus?	wild	none	Douda Bensasson	single colony picked from revitalised B27
H59	UEA2b.1.1	19.4.2007	AH05		S. paradoxus?	wild	none	Douda Bensasson	single colony picked from revitalised C62
H60	UEA2d.16.1	19.4.2007	AH06		S. paradoxus?	wild	none	Douda Bensasson	single colony picked from revitalised D17
H61	TTP2a.3.1	19.4.2007	AH07		S. paradoxus?	wild	none	Douda Bensasson	single colony picked from revitalised F37
H62	TTP2a.4.1	19.4.2007	AI01		S. paradoxus	wild	none	Douda Bensasson	single colony picked from revitalised F38, species confirmed with c15 and c9 reads.
H63	LBW2d.6.1	19.4.2007	AH08		CEN PCRs not paradoxus or cerevisiae-like	wild	none	Douda Bensasson	single colony picked from revitalised E29
H64	LBW2a.6.1	19.4.2007	AH09		S. paradoxus?	wild	none	Douda Bensasson	single colony picked from revitalised E16
H65	LBW2ja.6.1	19.4.2007	AH10		CEN PCRs not paradoxus or cerevisiae-like	wild	none	Douda Bensasson	single colony picked from revitalised G74
H66	LBW2f-ve	19.4.2007	AI01		none	na	none	Douda Bensasson	single colony picked from revitalised E03
H67	NCYC2970	19.4.2007	AI02		yeast-like	wild	none	Douda Bensasson	single colony picked from revitalised A59
H68	NCYC2888	19.4.2007	AI03		yeast-like	wild	none	Douda Bensasson	single colony picked from revitalised A44
H69	CBS8841	19.4.2007	AI04		yeast-like	wild	none	Douda Bensasson	single colony picked from revitalised A06
H70	UEAB2.5.1	1.5.2007	AI10		CEN PCRs not paradoxus or cerevisiae-like	wild	none	Douda Bensasson	single colony picked from revitalised D49
H71	UEAB2.6.1	1.5.2007	AJ01		CEN PCRs not paradoxus or cerevisiae-like	wild	none	Douda Bensasson	single colony picked from revitalised D50
H72	UEAB2.SM.A	1.5.2007	AJ02		CEN PCRs not paradoxus or cerevisiae-like	wild	none	Douda Bensasson	YPD innocculated from revitalised D59
H73	UEA3.2.1	1.5.2007	AJ03		S. paradoxus	wild	none	Douda Bensasson	single colony picked from revitalised B28, species confirmed with 1 c15 read.
H74	UEA3.3.1	1.5.2007	none, AJ04		yeast-like	wild	none	Douda Bensasson	single colony picked from revitalised B29
H75	UEA3.SM.A	1.5.2007	AJ05		S. paradoxus or S. cerevisiae?	wild	none	Douda Bensasson	YPD innocculated from revitalised C02
H76	TTP1a.6.1	1.5.2007	AJ06		yeast-like	wild	none	Douda Bensasson	single colony picked from revitalised F10
H77	TTP1a.7.1	1.5.2007	AJ07		yeast-like	wild	none	Douda Bensasson	single colony picked from revitalised F11
H78	TTP1a.SM.A	1.5.2007	AJ08		yeast-like	wild	none	Douda Bensasson	YPD innocculated from revitalised F14
H79	TTP2a.5.1	1.5.2007	AJ09		S. paradoxus?	wild	none	Douda Bensasson	single colony picked from revitalised F39
H80	TTP2a.7.1	1.5.2007	AJ10		S. paradoxus?	wild	none	Douda Bensasson	single colony picked from revitalised F41
H81	TTP2a.SM.A	1.5.2007	AK01		S. paradoxus?	wild	none	Douda Bensasson	YPD innocculated from revitalised F45
I01	TTP-ve	1.5.2007	AK02		none	na	none	Douda Bensasson	from F64
I02	TTP2a.4.2	1.5.2007	AK03		S. paradoxus	wild	none	Douda Bensasson	single colony picked from revitalised F38, see TTP2a.4.1
I03	UEA3.SM.B	13.6.2007	none		yeast-like	wild	none	Douda Bensasson	YPD innocculated from revitalised C02
I04	UEA3.YM.A	13.6.2007	none		yeast-like + some bacterial contaminant	wild	none	Douda Bensasson	YPD innocculated from revitalised C03
I05	UEA2d.YM.A	13.6.2007	none		yeast-like	wild	none	Douda Bensasson	YPD innocculated from revitalised C04
I06	UEAB2.YM.A	13.6.2007	none		yeast-like	wild	none	Douda Bensasson	YPD innocculated from revitalised C05
I07	UEA2c.YM.A	13.6.2007	none		yeast-like	wild	none	Douda Bensasson	YPD innocculated from revitalised C06
I08	negative	13.6.2007	none		bacterial contaminant	wild	none	Douda Bensasson	YPD innocculated from revitalised C07
I09	UEA1c.YM.A	13.6.2007	none		yeast-like	wild	none	Douda Bensasson	YPD innocculated from revitalised C19
I10	UEA1c.SM.A	13.6.2007	none		yeast-like	wild	none	Douda Bensasson	YPD innocculated from revitalised C61
I11	UEA2b.SM.A	13.6.2007	none		yeast-like	wild	none	Douda Bensasson	YPD innocculated from revitalised D13
I12	UEA2d.SM.A	13.6.2007	none		yeast-like	wild	none	Douda Bensasson	YPD innocculated from revitalised D27
I13	UEA2c.SM.A	13.6.2007	none		yeast-like	wild	none	Douda Bensasson	YPD innocculated from revitalised D48
I14	LBW1f.SM.A	13.6.2007	none		yeast-like	wild	none	Douda Bensasson	YPD innocculated from revitalised E09
I15	LBW2a.YM.A	13.6.2007	none		yeast-like	wild	none	Douda Bensasson	YPD innocculated from revitalised E15
I16	LBW2a.SM.A	13.6.2007	none		yeast-like	wild	none	Douda Bensasson	YPD innocculated from revitalised E21
I17	LBW2d.YM.A	13.6.2007	none		yeast-like	wild	none	Douda Bensasson	YPD innocculated from revitalised E28
I18	LBW2d.SM.A	13.6.2007	none		yeast-like	wild	none	Douda Bensasson	YPD innocculated from revitalised E34
I19	LBW2e.YM.A	13.6.2007	none		yeast-like	wild	none	Douda Bensasson	YPD innocculated from revitalised E40
I20	LBW2e.SM.A	13.6.2007	none		yeast-like	wild	none	Douda Bensasson	YPD innocculated from revitalised E46
I21	LBW2c.YM.A	13.6.2007	none		yeast-like	wild	none	Douda Bensasson	YPD innocculated from revitalised E53
I22	LBW2c.YM2.A	13.6.2007	none		yeast-like	wild	none	Douda Bensasson	YPD innocculated from revitalised E54
I23	CHO2d.1	25.7.2007	25.7.2007	1	other yeast-like species (not S. paradoxus or S. cerevisiae)	wild	none	Douda Bensasson	single colony picked from YPD. stored at -20 for 6 days then -80
I24	CHO2d.YM	25.7.2007	25.7.2007	2	other yeast-like species (not S. paradoxus or S. cerevisiae)	wild	none	Douda Bensasson	many yeast-like colonies picked from YPD. stored at -20 for 6 days then -80
I25	CHO2d.2	25.7.2007	25.7.2007	3.00	other yeast-like species (not S. paradoxus or S. cerevisiae)	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. Stored at -20 for 6 days then -80.
I26	CHO2d.SM	25.7.2007	25.7.2007	4	other yeast-like species (not S. paradoxus or S. cerevisiae)	wild	none	Douda Bensasson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate). -20 for 6 days then -80.
I27	CHO3a.1	25.7.2007	25.7.2007	5	other yeast-like species (not S. paradoxus or S. cerevisiae)	wild	none	Douda Bensasson	single colony picked from YPD. stored at -20 for 6 days then -80
I28	CHO3a.YM	25.7.2007	25.7.2007	6.00	other yeast-like species (not S. paradoxus or S. cerevisiae)	wild	none	Douda Bensasson	many yeast-like colonies picked from YPD. stored at -20 for 6 days then -80
I29	CHO3a.2	25.7.2007	25.7.2007	7	other yeast-like species (not S. paradoxus or S. cerevisiae)	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. Stored at -20 for 6 days then -80.
I30	CHO3a.SM	25.7.2007	25.7.2007	8	other yeast-like species (not S. paradoxus or S. cerevisiae)	wild	none	Douda Bensasson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate). -20 for 6 days then -80.
I31	CHO3b.1	25.7.2007	25.7.2007	9	other yeast-like species (not S. paradoxus or S. cerevisiae)	wild	none	Douda Bensasson	single colony picked from YPD. stored at -20 for 6 days then -80
I32	CHO3b.YM	25.7.2007	25.7.2007	10	other yeast-like species (not S. paradoxus or S. cerevisiae)	wild	none	Douda Bensasson	many yeast-like colonies picked from YPD. stored at -20 for 6 days then -80
I33	CHO3b.2	25.7.2007	25.7.2007	11	other yeast-like species (not S. paradoxus or S. cerevisiae)	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. Stored at -20 for 6 days then -80.
I34	CHO3b.SM	25.7.2007	25.7.2007	12	other yeast-like species (not S. paradoxus or S. cerevisiae)	wild	none	Douda Bensasson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate). -20 for 6 days then -80.
I35	CHO2d	27.7.2007	CHO2d.YM, CHO2d.SM, CHO2d.1, CHO2d.2		other yeast-like species (not S. paradoxus or S. cerevisiae)	wild	none	Douda Bensasson	yeast-like species in Sniegowski enrichment medium. yeast-like colonies on methyl-alpha-D-glucopyranoside. Stored at -20 for 4 days
I36	CHO3b	27.7.2007	CHO3b.YM, CHO3b.SM, CHO3b.1, CHO3b.2		other yeast-like species (not S. paradoxus or S. cerevisiae)	wild	none	Douda Bensasson	yeast-like species in Sniegowski enrichment medium. yeast-like colonies on methyl-alpha-D-glucopyranoside. Stored at -20 for 4 days
I37	CHO2h-ve	27.7.2007	none		none	na	none	Douda Bensasson	field negative. Stored at -20 for 4 days
I38	CHO2g-ve	27.7.2007	none		none	na	none	Douda Bensasson	field negative. Stored at -20 for 4 days
I39	CRO2d	31.7.2007	none		yeast-like	wild	none	Douda Bensasson	yeast-like species in Sniegowski enrichment medium. yeast-like colonies on methyl-alpha-D-glucopyranoside. To 4 then -80
I40	CRO2e	31.7.2007	none		yeast-like	wild	none	Douda Bensasson	yeast-like species in Sniegowski enrichment medium. yeast-like colonies on methyl-alpha-D-glucopyranoside. To 4 then -80
I41	CRO2f	31.7.2007	none		yeast-like	wild	none	Douda Bensasson	yeast-like species in Sniegowski enrichment medium. yeast-like colonies on methyl-alpha-D-glucopyranoside. To 4 then -80
I42	CRO2g-ve	31.7.2007	none		yeast-like	wild	none	Douda Bensasson	yeast-like species in Sniegowski enrichment medium. yeast-like colonies on methyl-alpha-D-glucopyranoside. To 4 then -80
I43	CRO3d	31.7.2007	none		yeast-like	wild	none	Douda Bensasson	yeast-like species in Sniegowski enrichment medium. yeast-like colonies on methyl-alpha-D-glucopyranoside. To 4 then -80
I44	CRO3e	31.7.2007	none		yeast-like	wild	none	Douda Bensasson	yeast-like species in Sniegowski enrichment medium. yeast-like colonies on methyl-alpha-D-glucopyranoside. To 4 then -80
I45	LBW2oa	31.7.2007	none		yeast-like	wild	none	Douda Bensasson	yeast-like species in Sniegowski enrichment medium. yeast-like colonies on methyl-alpha-D-glucopyranoside. To 4 then -80
I46	LBW2qa	31.7.2007	none		yeast-like	wild	none	Douda Bensasson	yeast-like species in Sniegowski enrichment medium. yeast-like colonies on methyl-alpha-D-glucopyranoside. To 4 then -80
I47	LBW2qb	31.7.2007	none		yeast-like	wild	none	Douda Bensasson	yeast-like species in Sniegowski enrichment medium. yeast-like colonies on methyl-alpha-D-glucopyranoside. To 4 then -80
I48	LBW5e-ve	31.7.2007	none		yeast-like	wild	none	Douda Bensasson	yeast-like species in Sniegowski enrichment medium. yeast-like colonies on methyl-alpha-D-glucopyranoside. To 4 then -80
I49	LBW5f	31.7.2007	none		none	na	none	Douda Bensasson	no yeast in Sniegowski enrichment medium. no yeast-like colonies on methyl-alpha-D-glucopyranoside. To 4 then -80
I50	LBW5g	31.7.2007	none		none	na	none	Douda Bensasson	no yeast in Sniegowski enrichment medium. no yeast-like colonies on methyl-alpha-D-glucopyranoside. To 4 then -80
I51	CRO2d.1	1.8.2007	1.8.2007	1	yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
I52	CRO2d.2	1.8.2007	1.8.2007	2	yeast-like	wild	none	Douda Bensasson	single small colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
I53	CRO2d.SM	1.8.2007	1.8.2007	3	yeast-like	wild	none	Douda Bensasson	many small and large yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate). 
I54	CRO2e.1	1.8.2007	1.8.2007	4	yeast-like	wild	none	Douda Bensasson	single small colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
I55	CRO2e.SM	1.8.2007	1.8.2007	5	yeast-like	wild	none	Douda Bensasson	many small yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate). 
I56	CRO2f.1	1.8.2007	1.8.2007	6	yeast-like	wild	none	Douda Bensasson	single small colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
I57	CRO2f.SM	1.8.2007	1.8.2007	7.00	yeast-like	wild	none	Douda Bensasson	many small yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate). 
I58	CRO2g-ve	1.8.2007	1.8.2007	8	none	na	none	Douda Bensasson	negative from plate
I59	CRO3d.1	1.8.2007	1.8.2007	9	yeast-like	wild	none	Douda Bensasson	single small colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
I60	CRO3d.SM	1.8.2007	1.8.2007	10.00	yeast-like	wild	none	Douda Bensasson	many small yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate). 
I61	CRO3e.1	1.8.2007	1.8.2007	11	yeast-like	wild	none	Douda Bensasson	single small colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
I62	CRO3e.SM	1.8.2007	1.8.2007	12	yeast-like	wild	none	Douda Bensasson	many small yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate). 
I63	LBW2oa.1	1.8.2007	1.8.2007	13	yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
I64	LBW2oa.2	1.8.2007	1.8.2007	14	yeast-like	wild	none	Douda Bensasson	single small colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
I65	LBW2oa.SM	1.8.2007	1.8.2007	15	yeast-like	wild	none	Douda Bensasson	many small and large yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate). 
I66	LBW2qa.SM	1.8.2007	1.8.2007	17	yeast-like	wild	none	Douda Bensasson	many small yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate). 
I67	LBW2qb.SM	1.8.2007	1.8.2007	19	yeast-like	wild	none	Douda Bensasson	many small yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate). 
I68	LBW5e-ve	1.8.2007	1.8.2007	20.00	none	na	none	Douda Bensasson	negative from plate
I69	LBW2oc.1	23.8.2007	23.8.2007	1	yeast-like	wild	none	Douda Bensasson	single colony picked from methyl-alpha-D-glucopyranoside. Stored at -20 for 2 days then -80.
I70	LBW2oc.SM	23.8.2007	23.8.2007	2	yeast-like	wild	none	Douda Bensasson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate). -20 for 2 days then -80.
